الاسم,الصورة,المادة المرتبطة,الملاحظات,السعر,group
amalgam jar& جرة الاملغم& املغم جار,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/Picsart_25-08-15_19-29-00-477.jpg,operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),تحط بيها الحشوة اول ماتجي من الجهاز وتفتحها من الكبسولة,,amalgam instruments
amalgam burnishers& صواقل الاملغم& املغم بيرنشرز,"%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/Picsart_25-08-15_19-32-34-710.jpg, %D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/Picsart_25-08-15_19-34-38-662.jpg",operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),تنعم بيها سطح حشوة الاملغم قبل وبعد الكارفينك,,amalgam instruments
amalgam carver& ناحت الاملغم& املغم كارفر,"%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/3432_1.jpg, %D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/amalgum-carver1-1.jpg",operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),تشيل الزايد من الحشوة وتعدلها علمود تشبه السن,,amalgam instruments
turbine& تورباين,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/productdetail_turbine-alegra-light.jpg,operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),"بيها انواع انتة تخذ الي بيه ضوة و ماي ",40000,
handpiece& هاندبيس,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/unnamed.jpg,"operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21), periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21)","تستخدمه للدنتين و لتنظيف الاسنان ",35000,
adam plier& اداة ادم& ادم بلاير,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/0004.webp,orthodontics (https://www.notion.so/orthodontics-248252c80c4a8045bebbf6035ebff4d9?pvs=21),نستخدمها لانحناء  الوايرز بزاوية حادة,,
half round plier& اداة نصف دائرية& هالف راوند بلاير,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/0005.png,orthodontics (https://www.notion.so/orthodontics-248252c80c4a8045bebbf6035ebff4d9?pvs=21),نستخدمها لانحناء الوايرز بزاوية مدورة,,
cutter& القاطعة& كتر,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/0006.png,orthodontics (https://www.notion.so/orthodontics-248252c80c4a8045bebbf6035ebff4d9?pvs=21),نستخدمها لقطع الوايرز,,
applicator brush& فرشة& ابليكاتر برش,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/0007.png,operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),"نستخدمها نحط البوند على السن ",,composite needs
rubber bowl&وعاء مطاطي& ربر باول,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/0008.png,prosthodontics (https://www.notion.so/prosthodontics-248252c80c4a8013af78c494631ea702?pvs=21),نحط بيها الستون,,
spatula& ملعقة مسطحة& سباجولا,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/0009.png,prosthodontics (https://www.notion.so/prosthodontics-248252c80c4a8013af78c494631ea702?pvs=21),نخبط بيها الستون,,
disposible perforated tray& تراي,"%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00010.png, %D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00011.png",prosthodontics (https://www.notion.so/prosthodontics-248252c80c4a8013af78c494631ea702?pvs=21),"ناخذ بيها الطبهة بيها ابر ولور و بيها ثلاث احجام ",,
alginate& الجنيت,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00012.png,prosthodontics (https://www.notion.so/prosthodontics-248252c80c4a8013af78c494631ea702?pvs=21),مادة الطبعة,,
